  183   60.1200   11.0500  1   5860.00   90.0000   25.2900
  179   58.5200   5.40000  1   5830.00   80.0000   50.5800
  186   62.5300   17.4500  1   5880.00   320.000   13.6200
  190   57.7100   11.7800  1   5800.00   115.000   36.9600
  182   57.3900   18.2100  1   5795.00   130.000   8.63000
  187   60.0800   1.11000  0   5870.00   60.0000   17.5100
  155   58.1300   6.19000  0   5870.00   65.0000   19.4600
  153   56.2600   2.52000  0   5790.00   50.0000   58.3700
  120   53.3300   2.55000  0   5690.00   50.0000   44.7500
  146   52.4100   1.41000  1   5630.00   70.0000   27.2400
  101   51.3200  0.490000  1   5643.00   61.0000   31.7800
  102   51.1200   1.48000  0   5645.00   50.0000   26.6800
  92   51.0500  0.130000  0   5610.00   65.0000   23.3500
  89   50.1300   5.19000  0   5640.00   45.0000   35.0200
  122   54.2900   6.06000  0   5770.00   45.0000   56.4200
  88   51.5600   10.1500  0   5815.00   45.0000   16.7200
  163   57.0600   9.52000  1   5700.00   123.000   21.8000
  166   55.7600   12.5100  1   5790.00   135.000   35.0200
  145   54.1000   13.3800  1   5750.00   140.000   36.9600
  123   51.1100   13.6800  1   5740.00   170.000   33.0700
  97   50.5500   10.3600  1   5630.00   190.000   46.6900
  171   54.7500   17.5300  1   5810.00   160.000   19.4600
  140   52.4100   16.8300  1   5800.00   145.000   27.2400
  129   51.1300   16.9800  1   5810.00   165.000   25.2900
  43   45.7300   5.08000  1   5680.00   230.000   42.8000
  13   44.8300  0.300000  0   5660.00   271.000   13.0000
  18   43.8600   4.40000  1   5720.00   230.000   27.2400
  45   41.9100   8.80000  1   5760.00   240.000   38.9100
  62   48.4500   4.01000  0   5640.00   40.0000   13.6200
  83   48.7600   2.01000  1   5610.00   130.000   1.95000
  56   48.6800   6.21000  1   5650.00   230.000   13.6200
  14   43.3600   8.25000  0   5860.00   308.000   7.20000
  16   40.4600   3.35000  0   5690.00   210.000   31.1300
  1   36.1500   5.21000  0   5760.00   239.000   18.0000
  19   38.7600   9.08000  0   5685.00   262.000   11.6000
  66   46.0300   13.1800  1   5740.00   245.000   21.4000
  39   45.4300   9.28000  1   5710.00   220.000   27.2400
  26   41.8000   12.1400  1   5800.00   275.000   29.1800
  34   40.6500   17.9500  1   5800.00   295.000   29.1800
  29   37.9100   12.5000  1   5880.00   255.000   19.4600
  2   36.7100   3.25000  1   5840.00   230.000   52.5300
  42   36.8300   10.2300  1   5890.00   280.000   31.1000
  197   54.5300   9.55000  1   5710.00   120.000   42.8000
  130   52.4600   9.70000  1   5650.00   140.000   31.1300
  135   52.4600   13.4000  1   5720.00   165.000   36.9600
  119   51.4000   6.96000  1   5630.00   125.000   15.5600
  74   48.8300   9.20000  1   5660.00   210.000   42.8000
  71   48.2500   11.5800  1   5720.00   230.000   40.8600
  95   48.2500   16.3600  1   5770.00   190.000   11.6700
  104   50.0000   14.4500  1   5750.00   180.000   21.4000
  51   45.8100   16.0300  1   5780.00   260.000   7.78000
  47   46.8100   6.95000  1   5680.00   235.000   40.8600
  111   50.4800   4.21000  1   5610.00   113.000   7.00000
  98   50.0300   5.40000  1   5630.00   120.000   7.78000
  105   52.1000   5.18000  1   5630.00   90.0000   17.5100
   1.00000e+10   1.00000e+10   1.00000e+06
   1.00000e-09   1.00000e-09   1.00000e-07
